表格1,,,,,,,,,,,,,,,,,,,,
,B-餐廳需求::店名,B-餐廳需求::類型,B-餐廳需求::餐點,B-狀態::肯定,B-狀態::否定,B-狀態::疑問,B-餐廳需求::地點,B-餐廳需求::地點,B-餐廳需求::地點,B-餐廳需求::評價,B-價位,B-人氣,B-節日,B-對罵,B-停車,B-吃到飽,B-打招呼,B-疑問::地點,B-疑問::物,B-疑問::人
,摩斯漢堡,宮廷菜,炭烤,是,不是,嗎,義新路,台北101,六張犁站,好吃,價位,人氣,父親節,呆,停車場,吃到飽,你好,哪裡,什麼,誰
,金時良房,北京菜,咖啡,好,不好,吧,北中路,美麗華,麟光站,好喝,便宜,最近很紅,母親節,笨,車位,,妳好,在哪,啥,
,阿忠碳烤,濟南菜,沙拉,可以,不可以,,關新一街,國立故宮博物院,木柵站,評價,超高級,生意最好,聖誕節,媽的,停車位,,您好,哪邊,甚麼,
,得意排骨大王,孔府菜,麵包,可,不可,,紫微路,故宮,萬芳社區站,評論,超貴,生意很好,聖誕,幹,停車格,,哈摟,,,
,公公小館,北方料理,蛋糕,行,不行,,金山二十二街,西門町,東湖站,風評,貴,推薦,爸爸節,爛,停車,,嗨,,,
,濠誠石板料理,北平菜,小菜,好喔,不好喔,,瑞崗一街,中正紀念堂,淡水站,星數,很貴,很夯,媽媽節,笨蛋,泊車,,好久不見,,,
,N咖啡,北京料理,蔬菜,是的,不是,,老梅路,龍山寺,竹圍站,,超級貴,有名,中秋節,大笨蛋,代客泊車,,hello,,,
,楓林餐廳,宋廚,生菜,要,不要,,福大路,動物園,關渡站,,高級,極推,中秋,白痴,,,安安,,,
,麵通屋,北方菜,豆腐,想要,不想,,慕義巷,臺北市立動物園,復興崗站,,很便宜,大推,端午節,好笨,,,早安,,,
,台北晶華酒店-栢麗廳,北方麵食,巧克力,我要,不想要,,太和路,台北市立動物園,北投站,,超便宜,必吃,端午,好呆,,,晚安,,,
,COFFEELOVERsPLANET,四川菜,水果,想,不,,李厝路,國父紀念館,新北投站,,平價,熱門,情人節,好爛,,,午安,,,
,海悅樓景觀茶坊,川菜,冰淇淋,不錯,不喜歡,,挖子尾街,華山文創園區,奇岩站,,超平價,受歡迎,白色情人節,超笨,,,安,,,
,豐滿早午餐,川味,番茄,喜歡,沒有,,景興路,華山,唭哩岸站,,俗又大碗,火紅,七夕情人節,超呆,,,早上好,,,
,二郭頭串燒居酒屋,四川料理,洋蔥,有,沒,,城南四街,紅毛城,石牌站,,,激推,七夕,超爛,,,晚上好,,,
,Agnesb.CAFEL.P.G.,港式,義大利麵,,,,正展路,松山文創園區,芝山站,,,超夯,春節,好白癡,,,早上安,,,
,悠咖啡資訊,成都菜,白飯,,,,美村南路,松菸,士林站,,,推,國慶日,超白痴,,,晚上安,,,
,泰板燒,成都料理,馬鈴薯,,,,科虎路,松菸誠品,劍潭站,,,人氣指數,國慶,傻,,,哈囉,,,
,城中市場老牌牛肉拉麵大王,重慶菜,檸檬,,,,佳安北街,信義誠品,圓山站,,,,結婚紀念日,傻子,,,,,,
,一炸入魂-台灣最後一家鹹酥雞,重慶料理,紅茶,,,,工區二路,誠品,雙連站,,,,週年紀念日,混帳,,,,,,
,奇華餅家,港式飲茶,火鍋,,,,大埔九街,誠品書店,中山站,,,,,超傻,,,,,,
,三槐堂,廣州菜,高麗菜,,,,振興街,北投溫泉博物館,東門站,,,,,好傻,,,,,,
,93巷人文空間,廣州料理,玉米,,,,宏泰路,圓山飯店,象山站,,,,,殺小,,,,,,
,玉丼,潮州菜,蝦子,,,,台鳳街,圓山大飯店,迴龍站,,,,,智障,,,,,,
,TheWhoCafe框影咖啡,潮州料理,培根,,,,塔腳路,圓山,丹鳳站,,,,,花惹發,,,,,,
,HONGKONG茶水攤,客家菜,泡菜,,,,朴東一街,淡水老街,新莊站,,,,,廢物,,,,,,
,パン(胖)達人手感烘焙TopPotBakery,客家料理,濃湯,,,,館前街,臺灣博物館,頭前庄站,,,,,垃圾,,,,,,
,標點符號創意廚房-問號店/問號早餐店,順德菜,牛奶,,,,金山二街,總統府,三重站,,,,,大便,,,,,,
,維多利亞花園,鳳城菜,鮭魚,,,,秀峰路,市政府,菜寮站,,,,,好煩,,,,,,
,金羅道韓式料理,東江菜,青菜,,,,六分,台北市政府,大橋頭站,,,,,爛耶,,,,,,
,信手工坊,潮汕菜,牛排,,,,大源六街,大安森林公園,頂溪站,,,,,爛死,,,,,,
,暗角咖啡,潮汕料理,蘋果,,,,憲政街,森林公園,南勢角站,,,,,很爛,,,,,,
,小草作Grassphere,廣府菜,干貝,,,,立莊路,當代藝術館,蘆洲站,,,,,白癡,,,,,,
,阿才的店,廣府料理,辣椒,,,,永義路,市立美術館,中原站,,,,,很笨,,,,,,
,印度風咖哩茶坊,順德料理,薯條,,,,工業北六路,袖珍博物館,中和站,,,,,,,,,,,
,Chelsea's雀兒小餐館,鳳城料理,草莓,,,,福祥路,行天宮,永和站,,,,,,,,,,,
,熊一頂級燒肉專賣,東江料理,吐司,,,,太順街,兒童新樂園,十四張站,,,,,,,,,,,
,九久生魚片,湖南料理,餅乾,,,,民航二街,新兒童樂園,西門站,,,,,,,,,,,
,ELAMOR西班亞Tapas&Bar,湖南菜,雞腿,,,,大埔美園區六路,兒童樂園,古亭站,,,,,,,,,,,
,漾紅花鐵板燒,航幫菜,咖哩,,,,福樂街,科教館,公館站,,,,,,,,,,,
,春一枝商行,甬幫菜,蜂蜜,,,,大營大路,士林夜市,萬隆站,,,,,,,,,,,
,小龍飲食,甄江菜,拉麵,,,,紫微路,漁人碼頭,景美站,,,,,,,,,,,
,蓮香齋,婺州菜,湯品,,,,明華路,象山,大坪林站,,,,,,,,,,,
,2gether棉花糖土司,上海菜,奶茶,,,,仁川路,貓空,七張站,,,,,,,,,,,
,solopasta,上海料理,米飯,,,,遼寧一街,饒河觀光夜市,新店站,,,,,,,,,,,
,啤調客Beeru,江浙料理,鬆餅,,,,東明街,饒河夜市,後山埤站,,,,,,,,,,,
,小銅板牛排(Piecettes),江浙菜,炸雞,,,,頂崁街,十分老街,永春站,,,,,,,,,,,
,哈肯舖手感烘焙,揚州菜,啤酒,,,,文寜街,碧潭,江子翠站,,,,,,,,,,,
,ovencoffee成都店咖啡館,揚州料理,南瓜,,,,永固街,二二八公園,新埔站,,,,,,,,,,,
,丹耶澧義大利餐廳,江蘇料理,粉絲,,,,榮貫,大溪老街,海山站,,,,,,,,,,,
,原味咖哩屋,江蘇菜,魚肉,,,,埔子,西門紅樓,土城站,,,,,,,,,,,
,泰國小館,浙菜,生魚片,,,,民富九街,紅樓,永寧站,,,,,,,,,,,
,PatissierPinede,湘菜,漢堡,,,,永二街,平溪老街,頂埔站,,,,,,,,,,,
,亞俐安朵私廚,陝北料理,餅皮,,,,長億六街,陽明山,三峽站,,,,,,,,,,,
,擴邦麵包,陝西料理,香蕉,,,,豐里,仁寶,民生社區站,,,,,,,,,,,
,天下佈武日月潭紅茶,西藏料理,紅豆,,,,鼎強街,小巨蛋,加蚋站,,,,,,,,,,,
,聚,陝北菜,抹茶,,,,健康一街,台北小巨蛋,辛亥站,,,,,,,,,,,
,古記雞.創意料理.私房菜居酒屋,陝西菜,乳酪,,,,仁慈路,南港軟體園區,內湖站,,,,,,,,,,,
,江南傳奇涮涮鍋,西藏菜,烏龍麵,,,,三界埔,輔大,文德站,,,,,,,,,,,
,thekitckentable西餐廳,新疆菜,蛋黃,,,,朴子二路,建國假日花市,港墘站,,,,,,,,,,,
,糕糕在尚復興店,新疆料理,炒飯,,,,三重中路,建國花市,西湖站,,,,,,,,,,,
,wolly's渥莉絲早午餐餐廳,滇味,果汁,,,,溪底寮,花市,劍南路站,,,,,,,,,,,
,卡滋日式咖哩炸豬排專賣店,滇菜,壽司,,,,精科中路,金華公園,大直站,,,,,,,,,,,
,發福廚房,泰式,蛤蜊,,,,南洲街,京站,大安站,,,,,,,,,,,
,微客棧咖啡館,泰式料理,開胃菜,,,,園二街,台北火車站,明德站,,,,,,,,,,,
,30巷咖哩飯,泰國菜,鮪魚,,,,青山六街,,景安站,,,,,,,,,,,
,LesBébésCafe&Bar貝貝西點,泰國料理,前菜,,,,集英街,,幸福站,,,,,,,,,,,
,南京七里香,泰北料理,火腿,,,,向陽街,,新埔民生站,,,,,,,,,,,
,三田製麵所,擺夷,豬排,,,,福北路,,板新站,,,,,,,,,,,
,御神四季創藝懷石料理,雲泰菜,蝦仁,,,,新仁一街,,橋和站,,,,,,,,,,,
,Boots,雲泰料理,蕃茄,,,,原興路,,景平站,,,,,,,,,,,
,清真中國牛肉麵館,雲泰,叉燒,,,,永昌一街,,民權西路站,,,,,,,,,,,
,駱師傅法式冰淇淋之家,泰北菜,味噌湯,,,,松隆路,,昆陽站,,,,,,,,,,,
,知多家,緬甸料理,雞腿肉,,,,七賢南路,,莒光站,,,,,,,,,,,
,白帶魚米粉湯,緬甸菜,排骨,,,,小北坑街,,松江南京站,,,,,,,,,,,
,羽村日本料理,台菜,小黃瓜,,,,芝玉路一段,,南京復興站,,,,,,,,,,,
,瑪莉珍披薩,台式,披薩,,,,潭平路,,信義安和站,,,,,,,,,,,
,新婦海南雞飯,台灣小吃,雞蛋,,,,郭和街,,南京三民站,,,,,,,,,,,
,普拉嬤嬤,台灣菜,烤肉,,,,小北街,,忠孝敦化站,,,,,,,,,,,
,蓮REN日本食堂,台式熱炒,清湯,,,,建國北路一段,,忠孝復興站,,,,,,,,,,,
,茄子洋廚,熱炒,花椰菜,,,,西圳街一段,,忠孝新生站,,,,,,,,,,,
,theChips美式餐廳,台式料理,串燒,,,,永大三路,,秀朗橋站,,,,,,,,,,,
,45pub,閩菜,紅酒,,,,東津路,,重陽橋站,,,,,,,,,,,
,香港廣成港式燒腊,中式餐廳,蛤蠣,,,,新興坑,,臺北橋站,,,,,,,,,,,
,MIFOODCAFE,中式,地瓜,,,,中工二路,,善導寺站,,,,,,,,,,,
,PALMPASTA,藥膳,芋頭,,,,法治街,,龍山寺站,,,,,,,,,,,
,CaffèRody,食補,酸菜,,,,芳漢路,,行天宮站,,,,,,,,,,,
,大三元豆漿店,滋補,蘑菇,,,,洛陽街,,先嗇宮站,,,,,,,,,,,
,家家牛排,進補,羊肉,,,,本田路,,廣慈奉天宮站,,,,,,,,,,,
,象園咖啡,食補料理,煎餅,,,,營盤路,,科技大樓站,,,,,,,,,,,
,御品苑中華創意料理,法式,杏鮑菇,,,,瓊林南路,,台電大樓站,,,,,,,,,,,
,大嘴巴正宗重慶酸辣粉,普羅旺斯,鮮奶,,,,泰成街,,市政府站,,,,,,,,,,,
,菁串蔬食燒烤bar,法國餐廳,香腸,,,,湖內巷,,新店區公所站,,,,,,,,,,,
,Piazzapizza&deli,法國菜,蟹肉,,,,地政路,,汐止區公所站,,,,,,,,,,,
,TEDDYSBURGER泰迪漢堡,法國料理,紅蘿蔔,,,,竹子湖路,,萬芳醫院站,,,,,,,,,,,
,福州世祖胡椒餅,法式餐館,年糕,,,,媽祖宮一街,,台大醫院站,,,,,,,,,,,
,新濱鐵板燒,法式餐廳,蘆筍,,,,義民街,,亞東醫院站,,,,,,,,,,,
,男塾本陣夜食酒場,西式,大蒜,,,,孝二街,,雙和醫院站,,,,,,,,,,,
,蜀國麻辣鴛鴦火鍋,西式餐廳,生菜沙拉,,,,柳州街,,動物園站,,,,,,,,,,,
,餓鬼食堂,義式,鳳梨,,,,館前路,,葫洲站,,,,,,,,,,,
,花漁新和風料理,義大利菜,金針菇,,,,溪興街,,松山機場站,,,,,,,,,,,
,1Bite2GoCafe&Deli,義大利餐廳,五花肉,,,,麻學路,,紅樹林站,,,,,,,,,,,
,奇味牛肉麵,義大利料理,豆皮,,,,新昌路,,忠義站,,,,,,,,,,,
,Yamistar,義式美食,麻辣鍋,,,,神岡東街,,台北101/世貿站,,,,,,,,,,,
,勝里日式豬排專賣店,地中海風,麵食,,,,自強市場第三棟,,台北101站,,,,,,,,,,,
,橫濱蛋包飯,地中海料理,瘦肉,,,,昌發街,,世貿站,,,,,,,,,,,
,越鄉越南美食館,德國菜,玉米筍,,,,阿柔洋,,新北產業園區站,,,,,,,,,,,
,招牌哨子麵,德國料理,肥肉,,,,太原九街,,北門站,,,,,,,,,,,
,G'dayCafe晴西餐廳,德式,雞湯,,,,富貴十一街,,小南門站,,,,,,,,,,,
,孚羅起司蛋糕,日耳曼美食,蔬果,,,,西安路,,小碧潭站,,,,,,,,,,,
,瓦薩比薩Vasapizzeria,日耳曼料理,冬粉,,,,正光一街,,永安市場站,,,,,,,,,,,
,牛二壽司,日耳曼餐廳,豆芽菜,,,,本昌路,,中正紀念堂站,,,,,,,,,,,
,彭記蚵仔麵脆皮臭豆腐,匈牙利料理,菠菜,,,,永華路,,台北小巨蛋站,,,,,,,,,,,
,三元號,匈牙利菜,果醬,,,,竹子山腳,,國父紀念館站,,,,,,,,,,,
,哈根達斯Haagen-Dazs,匈牙利餐館,核桃,,,,中華街,,府中站,,,,,,,,,,,
,1861light,匈牙利美食,蒜頭,,,,錦平街,,南港展覽館站,,,,,,,,,,,
,貓侍江戶製麵所,美式,燒肉,,,,內角,,南港軟體園區站,,,,,,,,,,,
,啄木鳥咖啡．簡餐woodpeckercafe,美式餐廳,丸子,,,,福貴路,,植物園站,,,,,,,,,,,
,甄品鍋,美式料理,芒果,,,,嘉峰路,,中山國中站,,,,,,,,,,,
,LACUZ泰式料理吃到飽,墨西哥菜,柚子,,,,永興六街,,中山國小站,,,,,,,,,,,
,勺勺客陜西餐館,墨西哥料理,甜不辣,,,,水碓街,,三重國小站,,,,,,,,,,,
,MissUBakeryCafé,墨西哥美食,魚片,,,,神農三街,,三和國中站,,,,,,,,,,,
,達美樂,歐式.歐式餐廳,龍蝦,,,,石梯灣,,徐匯中學站,,,,,,,,,,,
,香聚鍋,歐式料理,牛肉麵,,,,劉厝,,三民高中站,,,,,,,,,,,
,炸吧JUSTFRY手感精緻炸雞,歐式餐點,奶酪,,,,溝貝街,,輔大站,,,,,,,,,,,
,日本白一(Shiroichi)生淇淋,歐式風味.瑞士菜,巧克力蛋糕,,,,學勤路,,中和高中站,,,,,,,,,,,
,濱松屋,瑞典餐廳,白酒,,,,崙平北路,,大湖公園站,,,,,,,,,,,
,東葉豬腳飯,瑞典菜,香草冰淇淋,,,,五常街,,大安森林公園站,,,,,,,,,,,
,三多屋爸爸嘴,北歐料理,藍莓,,,,國興五街,,台北車站,,,,,,,,,,,
,竹間精緻鍋物,北歐餐廳,杏仁,,,,竹中巷,,板橋站,,,,,,,,,,,
,設計師的咖啡館,北歐風,土司,,,,國聖四街,,松山站,,,,,,,,,,,
,景美楊家手工水餃,西班牙菜,牛肉片,,,,大亨路,,南港站,,,,,,,,,,,
,TJBCAFE,西班牙餐廳,提拉米蘇,,,,明秀八街,,鶯歌站,,,,,,,,,,,
,餅乾缺一角Cokkiesmissing,西班牙風味,葡萄,,,,彰濱東八路,,小港站,,,,,,,,,,,
,大腸米粉湯,馬德里料理,蝦肉,,,,洛陽路,,草衙站,,,,,,,,,,,
,Wayne'sCaf'e,西班牙料理,白菜,,,,龍清街,,獅甲站,,,,,,,,,,,
,珠寶盒法式點心坊麗水店,希臘菜,熱湯,,,,稻香一街,,後驛站,,,,,,,,,,,
,LoveatFirstBite-BakeryCafe,希臘料理,雞翅,,,,福林路,,凹子底站,,,,,,,,,,,
,暮暮うどん,南歐料理,大腸,,,,國中路,,左營高鐵站,,,,,,,,,,,
,大鼎豬血湯,希臘餐廳,肉桂,,,,王公路,,後勁站,,,,,,,,,,,
,C25plus,巴西菜,豬肉片,,,,港東街,,青埔站,,,,,,,,,,,
,一級棒早點,巴西料理,螃蟹,,,,天興街,,西子灣站,,,,,,,,,,,
,韓吉韓式料理,巴西餐廳,骨頭,,,,民有十街,,鹽埕埔站,,,,,,,,,,,
,PLUSBELLE好時光迴廊藝文廚坊,荷蘭菜,牛小排,,,,金地路,,五塊厝站,,,,,,,,,,,
,大安森林食堂,荷蘭料理,冰沙,,,,福樹街,,鳳山西站,,,,,,,,,,,
,大地酒店,非洲料理,燻鮭魚,,,,錦順街,,鳳山站,,,,,,,,,,,
,韓國魷魚大叔,非洲餐廳,涮涮鍋,,,,內柑腳,,大寮站,,,,,,,,,,,
,浪奇時尚鍋物,南非料理,蚵仔,,,,光明十三街,,南岡山站,,,,,,,,,,,
,TUGA,南非菜,米粉,,,,盛南街,,籬仔內站,,,,,,,,,,,
,飛頁書餐廳,摩洛哥餐廳,炒麵,,,,太平嶺,,哈瑪星站,,,,,,,,,,,
,山葵居酒屋,摩洛哥菜,豬腳,,,,茄苳路,,凱旋站,,,,,,,,,,,
,帝國牛排館,摩洛哥料理,爆漿,,,,茂林社區,,大東站,,,,,,,,,,,
,TrineZen,北非餐館,棉花糖,,,,溝底路,,美麗島站,,,,,,,,,,,
,喬記文德店,北非菜,綠茶,,,,什股三街,,凱旋瑞田站,,,,,,,,,,,
